read,domain,e-value
UG30304.c98f3s4|oct12.P2.MID42.HWSTXOD02ETPOI|UG30304|Uganda_Kanungu;sample=UG30304;size=4;,DBLa0.19,2.3e-54
UG30486.c10f14s22|oct12.P3.MID48.HWSTXOD03GD6MT.HiQual|UG30486|Uganda_Kanungu;sample=UG30486;size=2;,DBLa0.20,1e-44
BK1030.c28f11s16|apr11.P1.MID55.GY7WJEE01A8AVL.HiQual|BK1030|Gabon_Bakoumba;sample=BK1030;size=4;,DBLa0.1,6.7e-56
MRS0663.c11f20s29|may13.P2.MID41-43.IAK27MS02GGQEU.HiQual|MRS0663|Ghana_Soe;sample=MRS0663;size=6;,DBLa0.20,1.7e-48
MRS0497.c16f10s19|apr13.P2.MID33-33.H8MRBDT02GIKLT.HiQual|MRS0497|Ghana_Soe;sample=MRS0497;size=15;,DBLa1.8,5.4e-55
UG30419.c43f12s20|oct12.P2.MID45.HWSTXOD02EDK24|UG30419|Uganda_Kanungu;sample=UG30419;size=1;,DBLa0.11,7e-59
BK423.c54f3s4|apr11.P4.MID20.GY7WJEE04I5P6F|BK423|Gabon_Bakoumba;sample=BK423;size=1;,DBLa0.11,2e-47
UG50551.c105f4s8|may13.P2.MID1-3.IAK27MS02G7AX3_rc|UG50551|Uganda_Kyenjojo;sample=UG50551;size=3;,DBLa0.19,2.1e-53
MRS0334.c87f5s6|jul13.P2.MID35-36.IDA9VQ202F1IQZ|MRS0334|Ghana_VeaGowrie;sample=MRS0334;size=1;,DBLa0.12,4.9e-54
BK614.c39f4s5|apr11.P1.MID36.GY7WJEE01BY79O|BK614|Gabon_Bakoumba;sample=BK614;size=1;,DBLa0.1,1.7e-54
MRS0230.c57f5s8|apr13.P1.MID18-20.H8MRBDT01BORYY|MRS0230|Ghana_VeaGowrie;sample=MRS0230;size=1;,DBLa0.1,2.6e-54
UG50569.c0f71s116|may13.P2.MID2-2.IAK27MS02F2OAD.HiQual|UG50569|Uganda_Kyenjojo;sample=UG50569;size=1;,DBLa0.24,7.6e-45
UG60486.c4f23s38|mar13.P2.MID40.H6VQLNR02DV1Z4.HiQual|UG60486|Uganda_Apac;sample=UG60486;size=1;,DBLa0.19,2.9e-58
MRS0484.c176f7s10|apr13.P2.MID32-32.H8MRBDT02G9IHZ|MRS0484|Ghana_Soe;sample=MRS0484;size=1;,DBLa0.1,1.8e-21
UG80378.c1f39s56|aug13.P2.MID51-51.IE15TFC02JXCI3.HiQual|UG80378|Uganda_Jinja;sample=UG80378;size=2;,DBLa0.5,2.6e-56
MRS0320.c146f3s4|apr13.P1.MID23-25.H8MRBDT01CTKMX|MRS0320|Ghana_VeaGowrie;sample=MRS0320;size=1;,DBLa0.5,6.4e-58
MRS0442.c21f26s33|apr13.P1.MID30-30.H8MRBDT01BZ4AH.HiQual|MRS0442|Ghana_Soe;sample=MRS0442;size=1;,DBLa0.9,1.8e-47
UG80663.c11f17s29|aug13.P1.MID57-57.IE15TFC01D9QOT|UG80663|Uganda_Jinja;sample=UG80663;size=1;,DBLa0.1,5.9e-61
UG70723.c54f12s27|aug13.P2.MID60-61.IE15TFC02GBCBL|UG70723|Uganda_Arua;sample=UG70723;size=1;,DBLa0.1,5.3e-55
BK398.c20f42s48|apr11.P1.MID18.GY7WJEE01BIN2N.HiQual|BK398|Gabon_Bakoumba;sample=BK398;size=1;,DBLa0.3,2e-45
UG50321.c39f18s25|may13.P1.MID59-61.IAK27MS01BWDRL.HiQual|UG50321|Uganda_Kyenjojo;sample=UG50321;size=4;,DBLa0.6,9.8e-51
UG50788.c81f11s12|may13.P2.MID7-8.IAK27MS02FQQZ4|UG50788|Uganda_Kyenjojo;sample=UG50788;size=1;,DBLa0.11,6.9e-59
MRS0235.c67f3s3|apr13.P1.MID19-19.H8MRBDT01BXAFL|MRS0235|Ghana_VeaGowrie;sample=MRS0235;size=1;,DBLa0.8,1.1e-46
UG80172.c61f11s19|aug13.P2.MID44-45.IE15TFC02J2819|UG80172|Uganda_Jinja;sample=UG80172;size=1;,DBLa0.1,6e-53
UG50543.c39f16s21|may13.P1.MID1-3.IAK27MS01D8FUB.HiQual|UG50543|Uganda_Kyenjojo;sample=UG50543;size=1;,DBLa1.8,1.2e-54
UG80142.c13f22s28|may13.P1.MID54-56.IAK27MS01EBSDF.HiQual|UG80142|Uganda_Jinja;sample=UG80142;size=8;,DBLa0.1,2.4e-53
UG70036.c81f7s7|aug13.P1.MID59-60.IE15TFC01CGU8R.HiQual|UG70036|Uganda_Arua;sample=UG70036;size=1;,DBLa0.9,1.7e-51
MRS0615.c47f16s22|may13.P2.MID39-40.IAK27MS02G8SQF.HiQual|MRS0615|Ghana_Soe;sample=MRS0615;size=2;,DBLa0.9,2e-54
MRS0386.c37f10s12|apr13.P2.MID26-26.H8MRBDT02G5MAH_rc|MRS0386|Ghana_Soe;sample=MRS0386;size=1;,DBLa0.15,6.6e-42
UG70389.c108f6s6|aug13.P1.MID4-6.IE15TFC01EQR6H_rc|UG70389|Uganda_Arua;sample=UG70389;size=1;,DBLa0.24,3.6e-52
MRS0566.c33f3s5|may13.P2.MID36-36.IAK27MS02HUXIQ|MRS0566|Ghana_Soe;sample=MRS0566;size=1;,DBLa0.24,2.8e-48
BK410.c31f9s11|apr11.P3.MID19.GY7WJEE03GRJX6|BK410|Gabon_Bakoumba;sample=BK410;size=1;,DBLa0.19,7e-48
UG10390.c104f7s7|mar13.P3.MID14.H6VQLNR03G38F8|UG10390|Uganda_Tororo;sample=UG10390;size=1;,DBLa1.8,7.8e-53
UG10367.c125f3s6|mar13.P1.MID13.H6VQLNR01ATM8R|UG10367|Uganda_Tororo;sample=UG10367;size=1;,DBLa0.11,2.5e-57
MRS0183.c46f4s7|apr13.P1.MID15-16.H8MRBDT01DKEJ8|MRS0183|Ghana_VeaGowrie;sample=MRS0183;size=1;,DBLa0.1,1.5e-56
MRS0231.c26f3s3|apr13.P2.MID18-20.H8MRBDT02HWWTF|MRS0231|Ghana_VeaGowrie;sample=MRS0231;size=1;,DBLa0.1,1e-54
BK105.c12f6s6|apr11.P2.MID04.GY7WJEE02DYGCZ|BK105|Gabon_Bakoumba;sample=BK105;size=1;,DBLa0.7,6.8e-45
UG80806.c47f3s6|may13.P2.MID48-48.IAK27MS02IHL8C|UG80806|Uganda_Jinja;sample=UG80806;size=2;,DBLa0.3,3.6e-52
MRS0279.c212f3s3|apr13.P2.MID21-22.H8MRBDT02IWTSY|MRS0279|Ghana_VeaGowrie;sample=MRS0279;size=1;,DBLa0.8,2.8e-55
UG70084.c60f6s8|aug13.P1.MID61-1.IE15TFC01BF3HP_rc|UG70084|Uganda_Arua;sample=UG70084;size=1;,DBLa0.8,5.2e-36
MRS0503.c115f5s6|apr13.P2.MID33-34.H8MRBDT02H4SY8|MRS0503|Ghana_Soe;sample=MRS0503;size=1;,DBLa0.22,4.6e-52
UG80105.c6f48s64|aug13.P2.MID43-45.IE15TFC02H24VQ.HiQual|UG80105|Uganda_Jinja;sample=UG80105;size=2;,DBLa0.3,1e-53
MRS0307.c17f9s9|apr13.P1.MID23-24.H8MRBDT01ERNXE.HiQual|MRS0307|Ghana_VeaGowrie;sample=MRS0307;size=1;,DBLa0.15,1e-52
MRS0488.c32f14s26|apr13.P1.MID32-34.H8MRBDT01DTCHW.HiQual|MRS0488|Ghana_Soe;sample=MRS0488;size=1;,DBLa0.8,7.9e-54
MRS0503.c35f18s23|apr13.P2.MID33-34.H8MRBDT02H1VHB.HiQual|MRS0503|Ghana_Soe;sample=MRS0503;size=2;,DBLa1.8,6e-53
MRS0403.c102f3s4|apr13.P2.MID27-27.H8MRBDT02IUVOU_rc|MRS0403|Ghana_Soe;sample=MRS0403;size=1;,DBLa0.8,8.9e-38
UG50559.c114f3s5|may13.P1.MID2-2.IAK27MS01BUN5U|UG50559|Uganda_Kyenjojo;sample=UG50559;size=1;,DBLa0.8,1.8e-51
UG50234.c21f14s25|may13.P1.MID53-55.IAK27MS01C88K8|UG50234|Uganda_Kyenjojo;sample=UG50234;size=2;,DBLa0.24,3.5e-42
UG60375.c73f5s8|mar13.P4.MID36.H6VQLNR04I1K0Z_rc|UG60375|Uganda_Apac;sample=UG60375;size=1;,DBLa0.5,4.1e-57
UG70710.c31f18s35|aug13.P2.MID14-16.IE15TFC02H0J8X.HiQual|UG70710|Uganda_Arua;sample=UG70710;size=1;,DBLa0.4,2.5e-55
BK1050.c46f11s15|apr11.P2.MID59.GY7WJEE02DC6JZ.HiQual|BK1050|Gabon_Bakoumba;sample=BK1050;size=1;,DBLa0.1,4.4e-59
UG30811.c97f7s9|oct12.P3.MID59.HWSTXOD03G39EK.HiQual|UG30811|Uganda_Kanungu;sample=UG30811;size=1;,DBLa0.10,6e-55
UG10040.c56f7s9|mar13.P3.MID01.H6VQLNR03G4AY5_rc|UG10040|Uganda_Tororo;sample=UG10040;size=1;,DBLa0.1,9.5e-56
IR13.c39f8s10|oct12.P1.MID8.HWSTXOD01B2ERH|IR13|Iran_SistanBaluchestan;sample=IR13;size=3;,DBLa0.1,1.4e-61
UG60547.c59f3s4|mar13.P4.MID42.H6VQLNR04I8GW9|UG60547|Uganda_Apac;sample=UG60547;size=1;,DBLa1.5,9e-47
MRS0686.c21f7s12|may13.P1.MID43-45.IAK27MS01COI6Y|MRS0686|Ghana_Soe;sample=MRS0686;size=1;,DBLa0.15,2.8e-55
BK520.c50f6s8|apr11.P3.MID29.GY7WJEE03FVYDM|BK520|Gabon_Bakoumba;sample=BK520;size=1;,DBLa0.1,1.6e-52
UG70416.c41f13s19|aug13.P1.MID5-6.IE15TFC01A6IX8.HiQual|UG70416|Uganda_Arua;sample=UG70416;size=1;,DBLa0.5,1.6e-54
UG70696.c23f16s26|aug13.P2.MID14-14.IE15TFC02H1KWX|UG70696|Uganda_Arua;sample=UG70696;size=1;,DBLa1.8,2.5e-54
UG60088.c63f7s12|mar13.P2.MID29.H6VQLNR02C2N6U|UG60088|Uganda_Apac;sample=UG60088;size=1;,DBLa0.5,3.9e-54
UG60188.c62f8s15|mar13.P1.MID31.H6VQLNR01BLTEI|UG60188|Uganda_Apac;sample=UG60188;size=1;,DBLa2,2.8e-47
UG60344.c46f8s14|mar13.P2.MID35.H6VQLNR02DOZAA.HiQual|UG60344|Uganda_Apac;sample=UG60344;size=2;,DBLa0.1,3.9e-54
UG10722.c61f7s10|mar13.P3.MID25.H6VQLNR03GOF4D_rc|UG10722|Uganda_Tororo;sample=UG10722;size=1;,DBLa0.8,1.1e-47
UG60476.c47f10s13|mar13.P4.MID39.H6VQLNR04JQHHC.HiQual|UG60476|Uganda_Apac;sample=UG60476;size=1;,DBLa0.5,2.6e-53
UG10367.c106f6s6|mar13.P1.MID13.H6VQLNR01BY2EC|UG10367|Uganda_Tororo;sample=UG10367;size=1;,DBLa0.3,8.3e-45
BK594.c33f4s4|apr11.P4.MID34.GY7WJEE04IOEI7|BK594|Gabon_Bakoumba;sample=BK594;size=1;,DBLa0.8,1.1e-55
UG50462.c70f4s4|may13.P1.MID62-1.IAK27MS01BXXIX|UG50462|Uganda_Kyenjojo;sample=UG50462;size=1;,DBLa0.19,3e-53
MRS0222.c7f16s16|apr13.P1.MID18-18.H8MRBDT01BRI7E.HiQual|MRS0222|Ghana_VeaGowrie;sample=MRS0222;size=1;,DBLa0.9,1.7e-46
MRS0064.c114f4s4|apr13.P1.MID04-06.H8MRBDT01DSNVV_rc|MRS0064|Ghana_VeaGowrie;sample=MRS0064;size=1;,DBLa0.5,2.4e-45
UG80719.c53f4s7|aug13.P2.MID15-16.IE15TFC02JST96_rc|UG80719|Uganda_Jinja;sample=UG80719;size=4;,DBLa0.2,3.3e-66
MRS0379.c39f8s10|apr13.P2.MID25-27.H8MRBDT02GAJKR.HiQual|MRS0379|Ghana_Soe;sample=MRS0379;size=1;,DBLa0.22,2.5e-57
UG10370.c134f4s6|mar13.P2.MID13.H6VQLNR02DTGCC|UG10370|Uganda_Tororo;sample=UG10370;size=1;,DBLa0.11,5.4e-39
UG10395.c95f4s4|mar13.P3.MID15.H6VQLNR03G48HO_rc|UG10395|Uganda_Tororo;sample=UG10395;size=1;,DBLa0.8,2.3e-55
UG30421.c26f11s14|oct12.P3.MID45.HWSTXOD03GW92Z.HiQual|UG30421|Uganda_Kanungu;sample=UG30421;size=1;,DBLa0.24,1.9e-51
MRS0089.c12f16s17|apr13.P2.MID06-08.H8MRBDT02GAIFF.HiQual|MRS0089|Ghana_VeaGowrie;sample=MRS0089;size=1;,DBLa0.6,1.9e-50
BK419.c41f7s14|apr11.P2.MID20.GY7WJEE02DNLDV|BK419|Gabon_Bakoumba;sample=BK419;size=1;,DBLa0.11,6.6e-59
K101.c21f19s27|oct12.P3.MID23.HWSTXOD03HCHQ3.HiQual|K101|Thailand_Kanchanaburi;sample=K101;size=1;,DBLa0.8,1.5e-50
MRS0302.c87f6s8|apr13.P2.MID22-24.H8MRBDT02JU0AW|MRS0302|Ghana_VeaGowrie;sample=MRS0302;size=1;,DBLa0.1,1e-56
UG60144.c1f57s67|mar13.P1.MID30.H6VQLNR01AWCWR.HiQual|UG60144|Uganda_Apac;sample=UG60144;size=1;,DBLa0.6,1.6e-48
MRS0373.c42f3s3|apr13.P1.MID25-26.H8MRBDT01CZOGZ_rc|MRS0373|Ghana_Soe;sample=MRS0373;size=1;,DBLa0.14,1.1e-54
UG60566.c1f7s118|mar13.P3.MID43.H6VQLNR03G38Z4_rc.HiQual|UG60566|Uganda_Apac;sample=UG60566;size=1;,DBLa0.9,5.9e-54
UG50465.c18f35s52|may13.P1.MID62-2.IAK27MS01BU0SX.HiQual|UG50465|Uganda_Kyenjojo;sample=UG50465;size=1;,DBLa0.3,1.3e-50
MRS0357.c120f5s7|aug13.P1.MID15-16.IE15TFC01EYBP5|MRS0357|Ghana_Soe;sample=MRS0357;size=5;,DBLa0.21,1.5e-62
BK586.c7f22s26|apr11.P1.MID34.GY7WJEE01A1COY.HiQual|BK586|Gabon_Bakoumba;sample=BK586;size=1;,DBLa0.17,3.1e-55
UG70213.c42f8s8|aug13.P1.MID2-2.IE15TFC01BSEOR.HiQual|UG70213|Uganda_Arua;sample=UG70213;size=1;,DBLa0.8,3.7e-52
UG70024.c110f5s7|aug13.P2.MID58-60.IE15TFC02IL8RW|UG70024|Uganda_Arua;sample=UG70024;size=1;,DBLa0.11,5.1e-56
MRS0045.c96f5s5|apr13.P2.MID03-05.H8MRBDT02IPATU|MRS0045|Ghana_VeaGowrie;sample=MRS0045;size=1;,DBLa0.17,1.5e-54
MRS0320.c58f15s17|apr13.P1.MID23-25.H8MRBDT01BVDO7.HiQual|MRS0320|Ghana_VeaGowrie;sample=MRS0320;size=1;,DBLa0.23,3.4e-44
MRS0488.c99f3s3|apr13.P1.MID32-34.H8MRBDT01CLCC4|MRS0488|Ghana_Soe;sample=MRS0488;size=1;,DBLa0.5,1.9e-61
MRS0594.c1f76s94|may13.P2.MID38-38.IAK27MS02JRJAL.HiQual|MRS0594|Ghana_Soe;sample=MRS0594;size=4;,DBLa0.15,5.9e-49
MRS0444.c47f7s14|apr13.P2.MID30-30.H8MRBDT02FDR7Y|MRS0444|Ghana_Soe;sample=MRS0444;size=1;,DBLa0.12,5.7e-55
UG10480.c47f12s20|mar13.P2.MID17.H6VQLNR02DQPKT.HiQual|UG10480|Uganda_Tororo;sample=UG10480;size=1;,DBLa0.5,7e-59
UG30792.c12f49s77|oct12.P4.MID58.HWSTXOD04JGW5R.HiQual|UG30792|Uganda_Kanungu;sample=UG30792;size=2;,DBLa1.2,5.1e-55
UG80239.c129f7s7|aug13.P2.MID45-46.IE15TFC02JJ7EQ|UG80239|Uganda_Jinja;sample=UG80239;size=1;,DBLa0.19,1.1e-59
UG60350.c9f35s50|mar13.P1.MID36.H6VQLNR01A1BYN.HiQual|UG60350|Uganda_Apac;sample=UG60350;size=1;,DBLa0.13,1e-45
MRS0307.c38f4s6|apr13.P1.MID23-24.H8MRBDT01A32Q1|MRS0307|Ghana_VeaGowrie;sample=MRS0307;size=1;,DBLa0.5,8.5e-51
UG10516.c44f13s18|mar13.P2.MID18.H6VQLNR02EHHLG.HiQual|UG10516|Uganda_Tororo;sample=UG10516;size=1;,DBLa0.11,1.3e-56
BK318.c150f3s4|apr11.P1.MID13.GY7WJEE01A3GMX|BK318|Gabon_Bakoumba;sample=BK318;size=1;,DBLa0.11,4.9e-55
MRS0191.c35f5s9|apr13.P1.MID15-18.H8MRBDT01DR8OR_rc|MRS0191|Ghana_VeaGowrie;sample=MRS0191;size=1;,DBLa0.5,2.2e-45
MUG20.KP220907;sample=MUG20;size=1;,DBLa0.1,4.1e-69
UG70437.c131f4s5|aug13.P2.MID6-6.IE15TFC02IV10C|UG70437|Uganda_Arua;sample=UG70437;size=1;,DBLa0.11,2.4e-56
MRS0206.c108f5s7|apr13.P2.MID16-18.H8MRBDT02HIZE7|MRS0206|Ghana_VeaGowrie;sample=MRS0206;size=2;,DBLa0.3,1.1e-49
MRS0079.c108f3s3|apr13.P2.MID05-07.H8MRBDT02JS3BQ|MRS0079|Ghana_VeaGowrie;sample=MRS0079;size=1;,DBLa0.5,3.8e-47
WOS16.KP220711;sample=WOS16;size=1;,DBLa1.4,2.5e-93
UG10763.c108f3s5|mar13.P3.MID26.H6VQLNR03GWQC1_rc|UG10763|Uganda_Tororo;sample=UG10763;size=1;,DBLa0.3,1e-49
BK576.c64f4s4|apr11.P4.MID32.GY7WJEE04ITA4C_rc|BK576|Gabon_Bakoumba;sample=BK576;size=1;,DBLa0.3,1.5e-52
UG30792.c0f94s126|oct12.P4.MID58.HWSTXOD04IOOEL.HiQual|UG30792|Uganda_Kanungu;sample=UG30792;size=2;,DBLa0.8,6.3e-55
WOS28.KP220488;sample=WOS28;size=1;,DBLa0.16,1.8e-90
MRS0337.c60f18s25|jul13.P1.MID39-39.IDA9VQ201D5903.HiQual|MRS0337|Ghana_VeaGowrie;sample=MRS0337;size=1;,DBLa0.5,9e-56
MRS0079.c50f5s5|apr13.P2.MID05-07.H8MRBDT02JUTH5_rc|MRS0079|Ghana_VeaGowrie;sample=MRS0079;size=1;,DBLa0.5,2.9e-34
UG80095.c90f7s7|aug13.P1.MID43-45.IE15TFC01CSZ2C.HiQual|UG80095|Uganda_Jinja;sample=UG80095;size=1;,DBLa0.9,2.9e-52
UG60300.c66f10s11|mar13.P1.MID34.H6VQLNR01BDVR7.HiQual|UG60300|Uganda_Apac;sample=UG60300;size=1;,DBLa0.5,2.8e-57
BK416.c21f8s14|apr11.P1.MID20.GY7WJEE01BAEZ6.HiQual|BK416|Gabon_Bakoumba;sample=BK416;size=1;,DBLa0.8,3.7e-51
UG50457.c102f6s8|may13.P2.MID62-62.IAK27MS02GJXCI|UG50457|Uganda_Kyenjojo;sample=UG50457;size=1;,DBLa0.18,6.1e-43
UG30630.c35f15s17|oct12.P3.MID51.HWSTXOD03GV4XI.HiQual|UG30630|Uganda_Kanungu;sample=UG30630;size=1;,DBLa0.11,1.1e-62
MRS0662.c120f3s5|may13.P1.MID41-43.IAK27MS01ALS6A|MRS0662|Ghana_Soe;sample=MRS0662;size=1;,DBLa0.15,1.2e-46
UG10728.c94f4s8|mar13.P1.MID26.H6VQLNR01B54U9_rc|UG10728|Uganda_Tororo;sample=UG10728;size=1;,DBLa0.5,1.1e-56
UG70291.c36f9s12|aug13.P1.MID4-5.IE15TFC01CTFNQ.HiQual|UG70291|Uganda_Arua;sample=UG70291;size=1;,DBLa0.5,4.6e-52
MRS0512.c39f3s3|apr13.P1.MID34-34.H8MRBDT01BQ5NK_rc|MRS0512|Ghana_Soe;sample=MRS0512;size=1;,DBLa0.6,4.2e-51
BK1066.c42f4s6|apr11.P3.MID60.GY7WJEE03F051D|BK1066|Gabon_Bakoumba;sample=BK1066;size=1;,DBLa0.5,8.8e-56
MRS0050.c51f6s6|apr13.P2.MID04-04.H8MRBDT02F4SWF_rc|MRS0050|Ghana_VeaGowrie;sample=MRS0050;size=1;,DBLa0.10,1.7e-18
UG60088.c73f4s10|mar13.P2.MID29.H6VQLNR02C2KPJ|UG60088|Uganda_Apac;sample=UG60088;size=9;,DBLa0.8,1.7e-52
UG10350.c53f7s12|mar13.P2.MID11.H6VQLNR02DH6Y7|UG10350|Uganda_Tororo;sample=UG10350;size=1;,DBLa0.1,3.1e-60
UG70596.c112f5s5|aug13.P1.MID11-11.IE15TFC01D0LF5|UG70596|Uganda_Arua;sample=UG70596;size=1;,DBLa0.15,6.4e-49
MRS0425.c54f3s3|apr13.P1.MID28-29.H8MRBDT01AW7OQ_rc|MRS0425|Ghana_Soe;sample=MRS0425;size=1;,DBLa0.1,1.6e-43
UG10141.c18f32s39|mar13.P2.MID03.H6VQLNR02EH001.HiQual|UG10141|Uganda_Tororo;sample=UG10141;size=2;,DBLa0.15,2.4e-52
UG60522.c42f14s24|mar13.P4.MID41.H6VQLNR04JJ0U1.HiQual|UG60522|Uganda_Apac;sample=UG60522;size=1;,DBLa0.1,8.4e-58
MRS0378.c70f6s6|apr13.P1.MID25-27.H8MRBDT01B0GIT|MRS0378|Ghana_Soe;sample=MRS0378;size=1;,DBLa0.8,5.7e-36
BK1202.c135f3s3|apr11.P3.MID61.GY7WJEE03G6H25_rc|BK1202|Gabon_Bakoumba;sample=BK1202;size=1;,DBLa1.8,1.6e-57
UG10437.c45f12s12|mar13.P3.MID16.H6VQLNR03F2Y39_rc.HiQual|UG10437|Uganda_Tororo;sample=UG10437;size=1;,DBLa0.15,1.6e-52
UG80229.c67f9s16|may13.P2.MID55-55.IAK27MS02IPZCS.HiQual|UG80229|Uganda_Jinja;sample=UG80229;size=1;,DBLa0.11,7e-55
UG60501.c0f34s85|mar13.P4.MID40.H6VQLNR04I3YQI|UG60501|Uganda_Apac;sample=UG60501;size=2;,DBLa1.8,5.5e-54
MRS0645.c25f3s7|may13.P1.MID40-42.IAK27MS01BHEQ3|MRS0645|Ghana_Soe;sample=MRS0645;size=1;,DBLa0.3,1.5e-44
UG60375.c21f16s21|mar13.P4.MID36.H6VQLNR04JCUBG|UG60375|Uganda_Apac;sample=UG60375;size=1;,DBLa0.11,1e-51
UG70720.c144f4s4|aug13.P1.MID60-61.IE15TFC01D63FR|UG70720|Uganda_Arua;sample=UG70720;size=1;,DBLa0.11,1.3e-52
UG60490.c129f4s5|mar13.P3.MID40.H6VQLNR03F5ZTH|UG60490|Uganda_Apac;sample=UG60490;size=1;,DBLa0.8,7.7e-53
UG70594.c133f4s12|aug13.P2.MID10-13.IE15TFC02F4RMP|UG70594|Uganda_Arua;sample=UG70594;size=1;,DBLa0.14,7e-44
UG60098.c165f3s3|mar13.P3.MID29.H6VQLNR03HFGD7|UG60098|Uganda_Apac;sample=UG60098;size=2;,DBLa0.12,3.4e-47
BK46.c60f7s10|apr11.P3.MID02.GY7WJEE03G94PC|BK46|Gabon_Bakoumba;sample=BK46;size=2;,DBLa0.5,1.9e-44
MRS0337.c37f25s34|jul13.P1.MID39-39.IDA9VQ201CBPSH.HiQual|MRS0337|Ghana_VeaGowrie;sample=MRS0337;size=1;,DBLa1.5,9.1e-50
MRS0129.c27f17s22|apr13.P1.MID10-11.H8MRBDT01ENKTG.HiQual|MRS0129|Ghana_VeaGowrie;sample=MRS0129;size=1;,DBLa0.11,1e-56
MRS0622.c16f40s61|may13.P2.MID39-41.IAK27MS02HUWZE.HiQual|MRS0622|Ghana_Soe;sample=MRS0622;size=5;,DBLa1.8,9.5e-56
UG60300.c18f10s21|mar13.P1.MID34.H6VQLNR01BD6IV.HiQual|UG60300|Uganda_Apac;sample=UG60300;size=1;,DBLa0.5,4e-56
UG10231.c80f7s7|mar13.P2.MID07.H6VQLNR02DP5YQ|UG10231|Uganda_Tororo;sample=UG10231;size=3;,DBLa0.10,1.1e-51
UG60349.c88f5s8|mar13.P4.MID35.H6VQLNR04INDTE|UG60349|Uganda_Apac;sample=UG60349;size=2;,DBLa0.15,3.6e-42
UG30804.c80f4s6|oct12.P2.MID59.HWSTXOD02D41JV.HiQual|UG30804|Uganda_Kanungu;sample=UG30804;size=1;,DBLa0.9,2.4e-51
UG60349.c85f7s8|mar13.P4.MID35.H6VQLNR04JHLFK|UG60349|Uganda_Apac;sample=UG60349;size=1;,DBLa0.14,1.1e-41
MRS0207.c3f21s28|apr13.P1.MID16-19.H8MRBDT01CD3A3.HiQual|MRS0207|Ghana_VeaGowrie;sample=MRS0207;size=1;,DBLa0.5,1.4e-57
UG80555.c72f5s12|aug13.P2.MID56-56.IE15TFC02J0CXN|UG80555|Uganda_Jinja;sample=UG80555;size=1;,DBLa0.15,2e-45
MRS0394.c10f63s80|apr13.P2.MID26-28.H8MRBDT02GNC4A.HiQual|MRS0394|Ghana_Soe;sample=MRS0394;size=1;,DBLa0.9,1.7e-52
UG50543.c56f4s7|may13.P1.MID1-3.IAK27MS01AZPWT|UG50543|Uganda_Kyenjojo;sample=UG50543;size=1;,DBLa0.11,6.2e-55
BK488.c28f7s9|apr11.P4.MID26.GY7WJEE04ING8L.HiQual|BK488|Gabon_Bakoumba;sample=BK488;size=1;,DBLa0.15,4.7e-54
MRS0347.c31f4s4|apr13.P2.MID24-25.H8MRBDT02IFR33_rc|MRS0347|Ghana_VeaGowrie;sample=MRS0347;size=1;,DBLa0.23,1.4e-39
UG70246.c84f7s8|aug13.P1.MID2-3.IE15TFC01D1UHR_rc|UG70246|Uganda_Arua;sample=UG70246;size=1;,DBLa0.24,2.1e-40
BK498.c2f5s6|apr11.P1.MID27.GY7WJEE01A8EJ8|BK498|Gabon_Bakoumba;sample=BK498;size=2;,DBLa0.12,2.9e-48
BK505.c49f3s5|apr11.P3.MID27.GY7WJEE03F4C2D|BK505|Gabon_Bakoumba;sample=BK505;size=1;,DBLa0.24,1e-43
MRS0338.c126f4s4|jul13.P2.MID39-39.IDA9VQ202HV01T_rc|MRS0338|Ghana_VeaGowrie;sample=MRS0338;size=1;,DBLa0.12,4.4e-50
UG50551.c66f12s18|may13.P2.MID1-3.IAK27MS02HN7WN.HiQual|UG50551|Uganda_Kyenjojo;sample=UG50551;size=1;,DBLa0.6,3e-49
UG50826.c65f14s21|aug13.P2.MID41-42.IE15TFC02J0R1P.HiQual|UG50826|Uganda_Kyenjojo;sample=UG50826;size=6;,DBLa0.3,5.1e-45
BK1417.c39f4s5|apr11.P4.MID23.GY7WJEE04JPHNY_rc|BK1417|Gabon_Bakoumba;sample=BK1417;size=1;,DBLa0.11,8.3e-49
UG70446.c58f9s10|aug13.P1.MID6-7.IE15TFC01CV6F9_rc|UG70446|Uganda_Arua;sample=UG70446;size=1;,DBLa0.9,1.2e-51
BK488.c53f3s5|apr11.P4.MID26.GY7WJEE04H1DYL|BK488|Gabon_Bakoumba;sample=BK488;size=1;,DBLa0.1,1.4e-54
UG80238.c31f12s20|aug13.P1.MID45-46.IE15TFC01BSSSS.HiQual|UG80238|Uganda_Jinja;sample=UG80238;size=2;,DBLa0.8,8.3e-51
MRS0208.c62f4s9|apr13.P2.MID16-19.H8MRBDT02H0W9T|MRS0208|Ghana_VeaGowrie;sample=MRS0208;size=5;,DBLa0.8,8.9e-51
UG60300.c142f4s4|mar13.P1.MID34.H6VQLNR01B1SFP_rc|UG60300|Uganda_Apac;sample=UG60300;size=1;,DBLa0.1,7.5e-48
MRS0242.c22f22s27|apr13.P2.MID19-21.H8MRBDT02HI9BB.HiQual|MRS0242|Ghana_VeaGowrie;sample=MRS0242;size=1;,DBLa0.15,3.1e-51
MRS0357.c169f3s5|aug13.P1.MID15-16.IE15TFC01B4OU8|MRS0357|Ghana_Soe;sample=MRS0357;size=1;,DBLa0.11,7.4e-54
